FOR_NFOR,TENEMENT_T,CADT_No,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
Deforested in 1st half HRP,MPSA,237,9.0385578,0.20193415,100.7413622,29.70409117,6.95E-02,0,4.836927,0.250610138,0,31.32205046,0,4.302549153,11.78112951,51.75188476,29.82640507,0.977821668,103.6266526,0.818801546,2.89E-02,4.71059389
Deforested in 2nd half HRP,EP,237,0,0,0.413726854,0.377466348,0,0,0,0,0,0,0,0,1.47E-02,0.563504514,0.224717975,0,0.594145757,0,0,0
Deforested in 2nd half HRP,EXPA,237,0,0,8.61E-02,6.86E-02,0,0,0,0,0,0,0,0,0,0,0,0,1.61E-02,0,0,0
Deforested in 2nd half HRP,MPSA,237,0.673928409,0,10.48799454,2.030853672,0,0,1.12E-02,2.41E-02,0,1.660791168,0,0.309226871,0.502716077,6.015037533,3.903753714,4.22E-02,6.930879011,1.94E-02,0,0.881521436
Deforested in 1st half HRP,AMPSA,238,0.15031848,0,18.87656199,0.184647094,1.96E-02,0,6.44E-02,0,0,0.447705933,0,0,0,0,0,0,0.329297878,0,0,0.209964032
Deforested in 1st half HRP,APSA,238,0,0,2.754966495,4.02E-02,0,0,0,0,0,0,0,0,0,0,0,0,9.66E-02,0,0,0
Deforested in 1st half HRP,EP,238,3.822193279,0.709916946,176.696686,81.78868948,2.19E-02,0,1.427769859,0.186014342,0.1551283,2.472480807,0,0.852424594,9.83463517,70.94587328,43.42487367,0.751802295,109.151138,1.57E-02,0.947272854,14.1201721
Deforested in 1st half HRP,EXPA,238,1.395141261,0.277532549,161.8756876,37.36356854,3.702358739,0,4.79277092,0.84988735,0.474568695,0.309043561,0,6.917878363,5.520539593,25.52278813,13.20135788,0.80104129,47.35660448,1.704766583,0.889022457,4.672305418
Deforested in 1st half HRP,MPSA,238,24.3385142,6.433888074,688.342057,132.1943491,1.137700326,0,7.238480398,3.911266608,1.538574421,473.4859089,0,16.18997812,21.71152451,98.74979323,93.3438957,4.25765327,416.9728265,12.71003671,19.89435609,41.87695127
Deforested in 2nd half HRP,AMPSA,238,0.117767634,0,17.78804868,3.93E-02,5.87E-02,0,0.251605634,0,0,9.30E-02,0,0,0,0,0,0,0.237943516,0,0,2.39E-02
Deforested in 2nd half HRP,APSA,238,0,0,8.701190064,0.122676771,0,0,0,0,0,0,0,0,0,0,0,0,4.98E-02,0,0,0
Deforested in 2nd half HRP,EP,238,0.438277219,0.147367334,81.54946268,16.98576295,0.186322004,0,1.496411066,6.11E-02,0.148435318,2.890043689,0,0.123902972,1.76010009,12.33799629,9.533458665,0.185040795,58.29782586,0.104811247,1.062808293,2.642619885
Deforested in 2nd half HRP,EXPA,238,0.610712545,6.45E-03,77.47209877,4.956958314,3.89E-02,0,0.251179408,1.08E-02,8.76E-02,4.57E-04,0,0.960866823,3.200631259,1.958602616,3.675744618,2.46E-02,16.51070728,7.06E-02,0.219845048,0.442659788
Deforested in 2nd half HRP,MPSA,238,8.189692711,1.487987906,393.0434921,66.50819978,0.262848553,0,6.706947699,1.292780067,0.220538423,318.2028765,0,3.639906019,28.06291919,28.39879485,36.29752672,0.878176649,170.0190894,4.937457079,3.294806124,10.3766935
Deforested in 1st half HRP,,246,4.156321092,0,68.54584037,49.43314471,3.11E-02,0,3.87495328,0,0,6.57E-02,0,0,0,0.232520403,2.96E-02,0,62.08309213,0,0,0.121206147
Deforested in 1st half HRP,APSA,246,1.872412257,0,275.9188504,92.78404379,0.871898611,0,6.132553308,0,0,0.190000834,0,0,0,0.589152134,0,0,67.13618935,0,0,0.719419074
Deforested in 1st half HRP,EP,246,0,0,1.172793598,6.73E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deforested in 1st half HRP,EXPA,246,3.279412862,0,250.0394533,103.7946625,0.776544667,0,11.95111356,0,0,1.585508146,0,0,0,2.44760297,0.436581391,0,101.3147671,0,0,1.924498276
Deforested in 2nd half HRP,,246,0.663004121,0,15.20217809,5.995349361,7.68E-02,0,1.932714198,0,0,0,0,0,0,0,2.96E-02,0,24.30266024,0,0,0
Deforested in 2nd half HRP,APSA,246,0.141496444,0,31.97161331,12.62018029,0.45735559,0,2.49353116,0,0,6.01E-03,0,0,0,4.18E-02,0,0,25.61213067,0,0,4.32E-02
Deforested in 2nd half HRP,EP,246,0,0,0.37344822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deforested in 2nd half HRP,EXPA,246,0.83851593,0,54.91775289,16.99387549,0.740099159,0,8.622015734,0,0,0.218192763,0,0,0,3.71E-02,0.147211167,0,46.32263058,0,0,0.540468342
Deforested in 1st half HRP,EXPA,250,4.350010035,6.63556886,62.8374678,3.184096517,5.276121156,0,4.699833798,0.232600335,8.21E-02,0.16534501,9.86E-03,8.539222762,68.02612927,531.3626678,258.5705887,2.784222784,203.5467523,1.837781276,11.74768863,27.22306466
Deforested in 2nd half HRP,EXPA,250,1.159786409,2.389014219,47.72606385,2.634148028,2.414203133,0,0.578811831,0.170284055,9.75E-03,0,2.41E-02,2.520630048,20.98145672,129.1322231,111.5920241,0.244744105,96.91417464,1.359888406,3.153546302,7.257711714
Deforested in 1st half HRP,EXPA,252,3.52872434,3.14E-03,79.75580308,138.6740307,7.582838253,0,47.95091284,0,0,0,0,0.625302045,1.023583014,294.7381887,80.35922573,0,268.6200455,0,1.28E-02,0.2793693
Deforested in 1st half HRP,MPSA,252,1.270663575,2.53E-02,54.91558815,2.167691212,0.299632043,0,4.92125611,0,0,0,0,2.994749353,3.370093313,312.4653628,87.92050602,1.78E-02,50.78364123,0,0,0.331769024
Deforested in 2nd half HRP,EXPA,252,0.476929563,0,35.39040023,56.61507258,7.439575678,0,27.08536857,0,0,0,0,0.101724374,0.5049181,83.61222005,50.26000441,0,170.0242673,0,6.29E-03,0.440419592
